FECHA|CASOS|MUERTES|COUNTRY
26/02/2020|1|0|Brazil
27/02/2020|0|0|Brazil
28/02/2020|0|0|Brazil
29/02/2020|0|0|Brazil
01/03/2020|1|0|Brazil
02/03/2020|0|0|Brazil
05/03/2020|1|0|Brazil
06/03/2020|5|0|Brazil
07/03/2020|5|0|Brazil
08/03/2020|0|0|Brazil
09/03/2020|12|0|Brazil
11/03/2020|9|0|Brazil
12/03/2020|18|0|Brazil
13/03/2020|25|0|Brazil
14/03/2020|21|0|Brazil
15/03/2020|23|0|Brazil
16/03/2020|79|0|Brazil
17/03/2020|34|0|Brazil
18/03/2020|57|1|Brazil
19/03/2020|137|3|Brazil
20/03/2020|193|2|Brazil
21/03/2020|283|5|Brazil
22/03/2020|224|7|Brazil
23/03/2020|418|7|Brazil
24/03/2020|345|9|Brazil
25/03/2020|310|12|Brazil
26/03/2020|232|11|Brazil
27/03/2020|482|20|Brazil
28/03/2020|502|15|Brazil
29/03/2020|487|22|Brazil
30/03/2020|352|22|Brazil
31/03/2020|323|23|Brazil
01/04/2020|1138|42|Brazil
02/04/2020|1119|40|Brazil
03/04/2020|1074|58|Brazil
04/04/2020|1146|60|Brazil
05/04/2020|1222|73|Brazil
06/04/2020|852|54|Brazil
07/04/2020|926|67|Brazil
08/04/2020|1661|114|Brazil
09/04/2020|2210|133|Brazil
10/04/2020|1930|141|Brazil
11/04/2020|1781|115|Brazil
12/04/2020|1089|68|Brazil
13/04/2020|1442|99|Brazil
14/04/2020|1261|105|Brazil
26/01/2020|1|0|Canada
27/01/2020|0|0|Canada
28/01/2020|1|0|Canada
29/01/2020|1|0|Canada
30/01/2020|0|0|Canada
31/01/2020|0|0|Canada
01/02/2020|1|0|Canada
02/02/2020|0|0|Canada
03/02/2020|0|0|Canada
04/02/2020|0|0|Canada
05/02/2020|1|0|Canada
06/02/2020|0|0|Canada
07/02/2020|2|0|Canada
08/02/2020|0|0|Canada
09/02/2020|0|0|Canada
10/02/2020|0|0|Canada
11/02/2020|0|0|Canada
12/02/2020|0|0|Canada
13/02/2020|0|0|Canada
14/02/2020|0|0|Canada
15/02/2020|1|0|Canada
16/02/2020|0|0|Canada
17/02/2020|0|0|Canada
18/02/2020|0|0|Canada
19/02/2020|0|0|Canada
20/02/2020|0|0|Canada
21/02/2020|1|0|Canada
22/02/2020|0|0|Canada
23/02/2020|0|0|Canada
24/02/2020|0|0|Canada
25/02/2020|2|0|Canada
26/02/2020|0|0|Canada
27/02/2020|1|0|Canada
28/02/2020|2|0|Canada
29/02/2020|2|0|Canada
01/03/2020|4|0|Canada
02/03/2020|4|0|Canada
03/03/2020|3|0|Canada
04/03/2020|3|0|Canada
05/03/2020|3|0|Canada
06/03/2020|12|0|Canada
07/03/2020|6|0|Canada
08/03/2020|6|0|Canada
09/03/2020|5|0|Canada
10/03/2020|15|1|Canada
11/03/2020|16|0|Canada
12/03/2020|10|0|Canada
13/03/2020|35|0|Canada
14/03/2020|38|0|Canada
15/03/2020|68|0|Canada
16/03/2020|60|0|Canada
17/03/2020|120|3|Canada
18/03/2020|145|4|Canada
19/03/2020|121|1|Canada
20/03/2020|156|1|Canada
21/03/2020|125|2|Canada
22/03/2020|331|6|Canada
23/03/2020|128|2|Canada
24/03/2020|216|4|Canada
25/03/2020|313|3|Canada
26/03/2020|1426|8|Canada
27/03/2020|633|4|Canada
28/03/2020|657|14|Canada
29/03/2020|711|7|Canada
30/03/2020|869|1|Canada
31/03/2020|1169|28|Canada
01/04/2020|1112|7|Canada
02/04/2020|1059|13|Canada
03/04/2020|1673|29|Canada
04/04/2020|1251|49|Canada
05/04/2020|1363|44|Canada
06/04/2020|1614|49|Canada
07/04/2020|1157|43|Canada
08/04/2020|1230|57|Canada
09/04/2020|1391|55|Canada
10/04/2020|1474|74|Canada
11/04/2020|1385|60|Canada
12/04/2020|1168|84|Canada
13/04/2020|1064|64|Canada
14/04/2020|1298|63|Canada
31/12/2019|27|0|China
01/01/2020|0|0|China
02/01/2020|0|0|China
03/01/2020|17|0|China
04/01/2020|0|0|China
05/01/2020|15|0|China
06/01/2020|0|0|China
07/01/2020|0|0|China
08/01/2020|0|0|China
09/01/2020|0|0|China
10/01/2020|0|0|China
11/01/2020|0|1|China
12/01/2020|0|0|China
13/01/2020|0|0|China
14/01/2020|0|0|China
15/01/2020|0|1|China
16/01/2020|0|0|China
17/01/2020|4|0|China
18/01/2020|17|0|China
19/01/2020|136|1|China
20/01/2020|19|0|China
21/01/2020|151|3|China
22/01/2020|140|11|China
23/01/2020|97|0|China
24/01/2020|259|9|China
25/01/2020|441|15|China
26/01/2020|665|15|China
27/01/2020|787|25|China
28/01/2020|1753|25|China
29/01/2020|1466|26|China
30/01/2020|1740|38|China
31/01/2020|1980|43|China
01/02/2020|2095|46|China
02/02/2020|2590|45|China
03/02/2020|2812|57|China
04/02/2020|3237|65|China
05/02/2020|3872|66|China
06/02/2020|3727|72|China
07/02/2020|3160|73|China
08/02/2020|3418|86|China
09/02/2020|2607|89|China
10/02/2020|2974|97|China
11/02/2020|2490|108|China
12/02/2020|2028|97|China
13/02/2020|15141|254|China
14/02/2020|4156|13|China
15/02/2020|2538|143|China
16/02/2020|2007|142|China
17/02/2020|2052|105|China
18/02/2020|1890|98|China
19/02/2020|1750|139|China
20/02/2020|394|112|China
21/02/2020|891|118|China
22/02/2020|826|109|China
